流域面积,相对高差,平均坡度,ndvi,clay,sand,silt,一级道路密度,二级道路密度,三级道路密度,四级道路密度,高速公路密度,铁路密度,断裂带密度,雨季降雨量均值,暴雨数量,特大暴雨数量,大暴雨数量,大雨数量,发生
0.567935,277,27.9029999,0.0270537,8,80,12,0,0,0,0.0059153,0,0,0.0126943,2.8256299,0.0048649,0.0048649,0.0048649,0.0048649,0
57.844101,3176,30.7842999,0.370054,15.9630003,55.5,28.5370007,0,0,0,0.0000803,0,0,0.0000541,2.95123,0.495488,0.495488,0.495488,0.495488,1
0.801935,1306,34.1220016,-0.0357877,8.13134,79.6666031,12.2020998,0,0,0,0.0066418,0,0,0.0061281,3.2130899,0.0068693,0.0068693,0.0068693,0.0068693,0
98.2331009,4197,33.8019981,0.290875,16.0526009,55.3263016,28.6210995,0,0,0,0.0000577,0,0,0.0000846,3.19034,2,2,2,2,1
2.0462799,1298,42.1113014,-0.153919,8,80,12,0,0,0,0.0029164,0,0,0.0348152,3.5371499,0.0175283,0.0175283,0.0175283,0.0175283,0
51.6519012,4654,32.8401985,0.213003,17.3469009,55.8367004,26.8162994,0,0,0,0.0001177,0,0,0.0000641,4.1050301,0.442446,0.442446,0.442446,0.442446,1
94.8749008,3940,34.9015007,0.357426,17.9666996,53.8111,28.2222004,0,0,0,0.0000687,0,0,0.0003378,4.2084599,0.812691,0.812691,0.812691,0.812691,1
1.27829,1339,33.3890991,-0.0690333,8.1604099,79.5927963,12.2468004,0,0,0,0.0052819,0,0,0.0538369,4.1646299,0.0109497,0.0109497,0.0109497,0.0109497,1
0.920125,715,32.789299,0.0613456,20.2185001,49.7352982,30.0461998,0,0,0,0.0080796,0,0,0.0863016,3.78304,0.0078817,0.0078817,0.0078817,0.0078817,0
57.6082993,3021,33.2781982,0.377646,19.75,47.4808006,32.7691994,0,0,0,0.0001311,0,0,0.0014,4.00665,0.493468,0.493468,0.493468,0.493468,1
0.222127,404,21.2290001,0.545268,16.2476997,44.0004997,39.7518997,0,0,0,0.0346802,0,0,1.3515199,3.90312,0.0019027,0.0019027,0.0019027,0.0019027,0
24.2122002,1939,29.1695004,0.432022,20.0435009,45.8260994,34.1304016,0,0,0,0.0003223,0,0,0.0009861,3.81427,0.2074,0.2074,0.2074,0.2074,0
