流域面积,相对高差,平均坡度,乡县密度,雨季降雨量均值,大暴雨数量,暴雨数量,大雨数量,sand,silt,clay,LUCC,NDVI,断裂带密度,发生
0.56793499,277,27.90299988,0,2.825910091,64,28,10,80,12,8,30,0.060392201,0.0126943,0
57.84410095,51,10.64939976,0,2.932290077,77.47059631,33.44760132,12.43319988,80,12,8,100,0.00654927,5.41E-05,0
0.801935017,155,25.50600052,0,2.982620001,80.82489777,36.96179962,16.81349945,80,12,8,100,-0.0305447,0.00612813,0
98.23310089,26,16.70639992,0,3.417749882,97,44,23,80,12,8,20,0.00915032,8.46E-05,0
2.046279907,1298,42.11130142,0,3.255510092,80.91390228,37.35520172,18.45870018,80,12,8,100,-0.167723,0.0348152,0
51.65190125,4654,32.84019852,0,4.103779793,82,38,17,80,12,8,100,-0.159739003,6.41E-05,0
94.87490082,3940,34.9015007,0,4.178520203,93,42,23,80,12,8,100,0,0.000337821,0
1.278290033,0,13.87370014,0,4.106890202,82.45709991,38.16619873,17.2493,79.54229736,12.27740002,8.180310249,100,-0.098143801,0.0538369,0
0.920125008,285,30.9368,0,3.762459993,86.37329865,36.58850098,18,49.63679886,30.11660004,20.2465992,100,0.031511001,0.0863016,0
57.60829926,35,27.80150032,0,3.862509966,92.02709961,39.34579849,18.64990044,51.78430176,29.04680061,19.16889954,100,0.096470602,0.00140003,0
0.222127005,229,19.04360008,0,3.903120041,70,29,17,44.0041008,40.61940002,15.37650013,100,0.504706025,1.35152,0
24.21220016,1939,29.16950035,0,3.749289989,85,36,18,47,32,21,100,0.111529,0.00098607,0
13.74960041,1482,27.9647007,0,3.749289989,85,36,18,49.15380096,30.46150017,20.38459969,100,0.31814,0.0277765,0
0.34949699,26,15.69690037,0,3.608920097,71.39620209,33.32590103,18.90740013,49.72340012,28.71069908,21.56599998,20,0.553165019,0.985617,0
6.355720043,1037,30.44190025,0,3.48029995,65.95010376,31.39949989,16.23390007,51.14289856,30.42860031,18.42860031,20,0.541664004,0.0134252,0
241.4109955,600,23.0394001,0,3.706939936,64.6697998,28.15929985,11.94239998,44,40.0788002,15.9211998,100,0.233242005,0.000778554,0
23.73320007,857,21.77420044,0,3.881299973,84.20909882,37.60509872,18.74720001,45.55509949,35.59790039,18.8470993,100,0.208722994,0.000131356,0
42.38750076,1454,28.87680054,0,3.818789959,81.8411026,36.0135994,17.48600006,48.89189911,31.56760025,19.54050064,100,0.440665007,0.00420756,0
31.43029976,120,18.68040085,0,4.309239864,70.60590363,29.60589981,17.60589981,45.03720093,36.57979965,18.38299942,100,0.237318993,0.000444606,0
0.314812988,1802,24.65469933,0,4.382460117,77.1934967,37.7419014,24.19350052,47.88370132,32.09069824,20.02549934,100,0.225869,0.14782,0
31.99640083,2986,32.6719017,0,3.859280109,82.25450134,39.79700089,20.79700089,45.41939926,33.32260132,21.25810051,20,0.578795016,9.12E-05,0
69.12599945,2738,30.84959984,0,3.751929998,80.00980377,39.98600006,22.0189991,48.59999847,29.2154007,22.18460083,20,0.631164014,0.0036096,0
51.41460037,620,27.53039932,0,4.573440075,71,30,18,44,39,17,100,0.494213998,0.0044242,0
56.29270172,2945,32.69100189,0,4.315569878,79.13700104,40.06809998,25.95369911,47.48149872,31.51849937,21,20,0.566429973,0.00499559,0
92.03050232,238,11.77910042,0,4.095369816,92,43,23,41.7779007,33.81510162,24.40690041,100,0.605943978,0.000229881,0
52.09069824,2916,32.94810104,0,3.938110113,80.65119934,37.58250046,18.46859932,44.36000061,33.34000015,22.29999924,20,0.586794972,0.000462696,0
24.83130074,3016,34.11949921,0,3.971379995,84.72260284,42.01279831,22.72850037,44.625,32.79169846,22.58329964,20,0.587050021,0.000901913,0
0.961113989,993,38.86729813,0,4.678609848,95,50,29,42.29380035,34.05410004,23.65209961,20,0.644245982,0.00211365,0
30.18930054,1547,26.92420006,0,4.569809914,74.48709869,33.95470047,21.69960022,44.59260178,34.92589951,20.48150063,20,0.585484982,0.00566333,0
59.54719925,3119,34.26139832,0,4.211390018,82.09290314,41.1651001,24.90789986,47.12070084,31.34480095,21.53450012,20,0.545499027,0.000323838,0
61.64759827,345,31.69239998,0,4.015130043,78,32,13,45.20320129,36.19250107,18.60429955,100,0.318991989,0.000229678,0
41.17950058,2506,32.01100159,0,4.438690186,84.84780121,39.85779953,20.12680054,42.92309952,33.61539841,23.46150017,20,0.639585972,0.010262,1
49.49689865,2265,29.41300011,0,4.958950043,77.16870117,35.42179871,23.38409996,44.76089859,34.63040161,20.6086998,20,0.448843002,0.00436493,0
43.74980164,434,29.10370064,0,5.016349792,76.79470062,34.82889938,25.22640038,42.41360092,35.29850006,22.28790092,20,0.418489009,0.00382799,0
46.49129868,2421,29.21769905,0,4.378469944,82.18730164,37.18730164,17.78890038,41.6086998,34.5,23.8913002,20,0.627393007,0.00328107,1
83.95700073,3562,31.63829994,0,4.900489807,83.86299896,40.8042984,25.3302002,46.65430069,32.67900085,20.66670036,20,0.4463,1.23E-06,0
56.13690186,113,31.61560059,0,4.104090214,76.78050232,31.08539963,13.91460037,41.91479874,34.1344986,23.95070076,100,0.440901011,0.000088002,0
13.20569992,1504,35.15670013,0,4.720950127,80.29340363,37.88029861,22.11380005,40.38460159,35.46149826,24.15379906,20,0.633518994,0.000632155,0
51.38980103,2934,31.73489952,0,4.862520218,88.39929962,45.03450012,26.97850037,44.97869873,33.97869873,21.04260063,20,0.501353979,0.00229984,0
174.0469971,2849,29.64439964,0,4.184420109,81.20439911,35.86019897,17.40180016,46.04940033,32.77159882,21.17900085,20,0.589561999,0.000898813,1
0.654780984,715,34.58649826,0,4.948830128,81,40,26,41,35,24,20,0.706112981,0.0170701,0
64.35870361,3002,30.14539909,0,4.161029816,76,30.5,14.5,45.66130066,32.95159912,21.38710022,20,0.559771001,0.00507319,1
29.65379906,2172,34.92829895,0,4.952270031,80.92420197,39.96210098,25.97159958,36.86209869,38.10340118,25.03450012,20,0.672118008,0.0114086,1
87.67919922,719,31.52700043,0,5.244309902,73.73729706,33.36869812,22.66180038,44,39,17,20,0.446574986,0.00348029,0
4.803030014,1543,34.53549957,0,4.948830128,81,40,26,45,32,23,20,0.689795017,0.0158081,0
73.29660034,209,25.53339958,0,4.306930065,74,29,16,79.81739807,12.13689995,8.045649529,100,0.147476003,0.000345775,0
47.21480179,3015,32.0719986,0,5.262219906,74.40319824,36.72119904,23.59639931,45.70449829,30.84090042,23.4545002,20,0.54370898,0.00212599,0
114.4039993,2926,30.90340042,0,5.226900101,75.3588028,36.32149887,23.03739929,45.38529968,32.44039917,22.17429924,20,0.554750025,0.00305529,0
39.4178009,3046,33.46080017,0,4.438119888,75.40339661,31.25040054,18.09490013,48.47219849,30.52779961,21,20,0.561003983,0.00046907,1
50.95780182,2649,33.48239899,0,5.168600082,80.13790131,40.11999893,26.34280014,44.3125,32.52080154,23.16670036,20,0.649478972,0.00088369,1
24.95219994,724,28.69420052,0,6.098760128,74.04789734,36.06389999,24.53989983,43.25,33.75,23,20,0.485206991,0.000428456,0
17.70999908,2705,30.88459969,0,5.010799885,90.67839813,47.80419922,29.50279999,43.33330154,33.11109924,23.55559921,20,0.67295903,0.00558298,1
28.82729912,2556,31.9253006,0,5.349639893,91.10299683,49.12120056,31.67880058,43.18519974,32.88890076,23.92589951,20,0.666305006,0.000125214,1
